#,SeasonStart,PlayerName,PlayerSalary ,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
8035,1986,A.C. Green,,PF,22,LAL,82,1,1542,11.8,56.40%,0.015,43.00%,12.4,15.5,14,4.2,1.5,1.7,17.7,14.7,,1.4,2,3.3,0.103,,-0.5,0.8,0.3,0.9,209,388,53.90%,1,6,0.167,208,382,54.50%,54.00%,102,167,61.10%,160,221,381,54,49,49,99,229,521
8420,1987,A.C. Green,,PF,23,LAL,79,72,2240,15.7,59.90%,0.009,48.00%,11.2,18.8,15.3,4.6,1.5,2,12.5,14.7,,4.3,3.3,7.6,0.163,,0.6,1,1.7,2.1,316,587,53.80%,0,5,0,316,582,54.30%,53.80%,220,282,78.00%,210,405,615,84,70,80,102,171,852
8807,1988,A.C. Green,,PF,24,LAL,82,64,2636,14.5,58.10%,0.003,59.20%,11.1,19.1,15.3,4.5,1.6,1,12.9,14.7,,4.5,3.4,7.9,0.144,,0.2,0.8,1,2,322,640,50.30%,0,2,0,322,638,50.50%,50.30%,293,379,77.30%,245,465,710,93,87,45,120,204,937
9242,1989,A.C. Green,,PF,25,LAL,82,82,2510,17.8,59.40%,0.022,47.40%,12.3,20,16.4,5.5,1.8,1.2,11.5,17,,5.8,3.5,9.4,0.179,,1.6,0.6,2.2,2.7,401,758,52.90%,4,17,0.235,397,741,53.60%,53.20%,282,359,78.60%,258,481,739,103,94,55,119,172,1088
9688,1990,A.C. Green,"$1,750,000.00 ",PF,26,LAL,82,82,2709,14.7,54.80%,0.057,45.90%,11.5,18.4,15.1,4.6,1.2,1.1,10.7,17.1,,4.4,3.3,7.7,0.137,,0.3,0,0.4,1.6,385,806,47.80%,13,46,0.283,372,760,48.90%,48.60%,278,370,75.10%,262,450,712,90,66,50,116,207,1061
10166,1991,A.C. Green,"$1,750,000.00 ",PF,27,LAL,82,21,2164,13.8,55.60%,0.101,55.70%,11.3,16.2,13.8,4.5,1.4,0.6,12.8,15.6,,3.2,2.9,6.1,0.135,,0,0.6,0.5,1.4,258,542,47.60%,11,55,0.2,247,487,50.70%,48.60%,223,302,73.80%,201,315,516,71,59,23,99,117,750
10617,1992,A.C. Green,"$1,750,000.00 ",PF,28,LAL,82,53,2902,16.7,55.60%,0.07,56.90%,11.8,18.2,14.9,6,1.6,0.8,10,16.8,,5.8,2.9,8.8,0.145,,1.2,0.2,1.4,2.5,382,803,47.60%,12,56,0.214,370,747,49.50%,48.30%,340,457,74.40%,306,456,762,117,91,36,111,141,1116
11060,1993,A.C. Green,"$1,885,000.00 ",PF,29,LAL,82,55,2819,16.3,60.30%,0.065,53.10%,11.5,17.3,14.4,5.9,1.6,0.9,11.8,15,,6.1,2.6,8.6,0.147,,1.6,0.5,2.1,2.9,379,706,53.70%,16,46,0.348,363,660,55.00%,54.80%,277,375,73.90%,287,424,711,116,88,39,116,149,1051
11529,1994,A.C. Green,"$6,472,600.00 ",PF,30,PHO,82,55,2825,17,55.50%,0.038,39.10%,11.1,18.8,15,6.9,1.2,0.8,8.4,17.6,,6.7,2.6,9.3,0.157,,1.5,-0.3,1.2,2.3,465,926,50.20%,8,35,0.229,457,891,51.30%,50.60%,266,362,73.50%,275,478,753,137,70,38,100,142,1204
11999,1995,A.C. Green,"$6,473,000.00 ",SF,31,PHO,82,52,2687,14.2,59.60%,0.206,55.60%,8.3,20.4,14.3,6.5,1,0.8,12.9,14.2,,4.6,2.1,6.7,0.12,,0.6,0.2,0.7,1.9,311,617,50.40%,43,127,0.339,268,490,54.70%,53.90%,251,343,73.20%,194,475,669,127,55,31,114,146,916
